Avl, B, Rubro
3067312, 13444088, 7458309
3073844, 13472931, 7474252
3080431, 13501779, 7490418
3087044, 13530771, 7506668
3093702, 13559551, 7522618
3100368, 13588452, 7538902
3106974, 13617469, 7555061
3113545, 13646524, 7571347
3120233, 13675806, 7587693
3126927, 13705043, 7604061
